"","title","wins","gg_bpw"
"625","House of Sand and Fog (2003)",0,0
"626","Houseboat (1958)",0,0
"627","Howards End (1992)",1,0
"628","Hud (1963)",0,0
"629","Hugo (2011)",1,0
"630","Husbands (1970)",0,0
"631","Husbands and Wives (1992)",0,0
"632","Hush...Hush, Sweet Charlotte (1964)",1,0
"633","Hustle & Flow (2005)",0,0
"634","Hustlers (2019)",0,0
"635","Hyde Park on Hudson (2012)",0,0
"636","I Never Promised You a Rose Garden (1977)",0,0
"637","I Never Sang For My Father (1970)",0,0
"638","I Remember Mama (1948)",1,0
"639","I Want To Live! (1958)",1,0
"640","I'll See You in My Dreams (1952)",0,0
"641","I'm Not There (2007)",1,0
"642","I've Loved You So Long (2008)",0,0
"643","I, Tonya (2017)",1,0
"644","Ice Castles (1979)",0,0
"645","If Beale Street Could Talk (2018)",1,0
"646","If It's Tuesday, This Must Be Belgium (1969)",0,0
"647","If a Man Answers (1962)",0,0
"648","Igby Goes Down (2002)",0,0
"649","Imitation of Life (1959)",1,0
"650","In & Out (1997)",0,0
"651","In America (2003)",0,0
"652","In Bruges (2008)",1,0
"653","In Cold Blood (1967)",0,0
"654","In Country (1989)",0,0
"655","In Her Shoes (2005)",0,0
"656","In the Bedroom (2001)",1,0
"657","In the Heat of the Night (1967)",3,1
"658","In the Line of Fire (1993)",0,0
"659","In the Name of the Father (1993)",0,0
"660","Inception (2010)",0,0
"661","Indiana Jones and The Last Crusade (1989)",0,0
"662","Indiscreet (1958)",0,0
"663","Infinitely Polar Bear (2015)",0,0
"664","Inglourious Basterds (2009)",1,0
"665","Inherent Vice (2014)",0,0
"666","Inherit the Wind - 1960 (1960)",0,0
"667","Inside Daisy Clover (1965)",1,0
"668","Inside Llewyn Davis (2013)",0,0
"669","Interiors (1978)",0,0
"670","Interstellar (2014)",0,0
"671","Interview with the Vampire (The Vampire Chronicles) (1994)",0,0
"672","Into The Wild (2007)",1,0
"673","Into the Woods (2014)",0,0
"674","Intruder In The Dust (1949)",0,0
"675","Invictus (2009)",0,0
"676","Iris (2001)",1,0
"677","Irma La Douce (1963)",0,0
"678","Ironweed (1987)",0,0
"679","Irreconcilable Differences (1984)",0,0
"680","Is Paris Burning? (1966)",0,0
"681","Isadora (1968)",0,0
"682","Isle of Dogs (2018)",0,0
"683","It's A Wonderful Life (1946)",1,0
"684","It's Complicated (2009)",0,0
"685","It's a Mad, Mad, Mad, Mad World (1963)",0,0
"686","Ivanhoe (1952)",0,0
"687","J. Edgar (2011)",0,0
"688","JFK (1991)",1,0
"689","Jackie (2016)",0,0
"690","Jackie Brown (1997)",0,0
"691","Jacknife (1989)",0,0
"692","Jacqueline Susann's Once Is Not Enough (1975)",1,0
"693","Jaws (1975)",1,0
"694","Jerry Maguire (1996)",1,0
"695","Jesus Christ Superstar (1973)",0,0
"696","John Carpenter's Starman (1984)",0,0
"697","John Grisham's The Rainmaker (1997)",0,0
"698","John and Mary (1969)",0,0
"699","Johnny Belinda (1948)",1,1
"700","Jojo Rabbit (2019)",0,0
"701","Joker (2019)",2,0
"702","Jonathan Livingston Seagull (1973)",1,0
"703","Joseph Andrews (1977)",0,0
"704","Joy (2015)",1,0
"705","Judgment at Nuremberg (1961)",2,0
"706","Judy (2019)",1,0
"707","Julia (1977)",2,0
"708","Julie & Julia (2009)",1,0
"709","Junior (1994)",0,0
"710","Juno (2007)",0,0
"711","Kansas City Bomber (1972)",0,0
"712","Kate & Leopold (2001)",1,0
"713","Kazablan (1973)",0,0
"714","Kill Bill (Vol. 1) (2003)",0,0
"715","Kill Bill (Vol. 2) (2004)",0,0
"716","King Kong (2005)",0,0
"717","King Of Kings (1961)",0,0
"718","Kinky Boots (2006)",0,0
"719","Kinsey (2004)",0,0
"720","Kiss Me Goodbye (1982)",0,0
"721","Kiss of the Spider Woman (1985)",0,0
"722","Klute (1971)",1,0
"723","Knives Out (2019)",0,0
"724","Kotch (1971)",1,0
"725","Kramer vs. Kramer (1979)",4,1
"726","Kundun (1997)",0,0
"727","L.A. Confidential (1997)",1,0
"728","La Bamba (1987)",0,0
"729","La La Land (2016)",7,1
"730","La Vie En Rose (2007)",1,0
"731","Labor Day (2013)",0,0
"732","Lady Bird (2017)",2,1
"733","Lady Sings the Blues (1972)",0,0
"734","Lars and the Real Girl (2007)",0,0
"735","Last Chance Harvey (2008)",0,0
"736","Last Tango in Paris (1973)",0,0
"737","Late Night (2019)",0,0
"738","Lawrence Of Arabia (1962)",3,1
"739","Le Mans (1971)",0,0
"740","Leaving Las Vegas (1995)",1,0
"741","Legally Blonde (2001)",0,0
"742","Legends of the Fall (1994)",0,0
"743","Lenny (1974)",0,0
"744","Les Girls (1957)",1,1
"745","Les Misérables (2012)",3,1
"746","Letters from Iwo Jima (2006)",0,0
"747","Liar Liar (1997)",0,0
"748","Life With Father (1947)",1,0
"749","Life as a House (2001)",0,0
"750","Life of Pi (2012)",1,0
"751","Lili (1953)",1,0
"752","Lilies of the Field (1963)",1,0
"753","Lilith (1964)",0,0
"754","Lincoln (2012)",1,0
"755","Lion (2016)",0,0
"756","Lisa (1962)",0,0
"757","Little Big Man (1970)",0,0
"758","Little Children (2006)",0,0
"759","Little Dorrit (1988)",0,0
"760","Little Fauss and Big Halsey (1970)",0,0
"761","Little Miss Sunshine (2006)",0,0
"762","Little Shop of Horrors (1986)",0,0
"763","Little Voice (1998)",1,0
"764","Little Women (2019)",0,0
"765","Live For Life (1967)",0,0
"766","Lolita (1962)",0,0
"767","Lone Star (1996)",0,0
"768","Lonelyhearts (1958)",0,0
"769","Long Ago Tomorrow (1971)",0,0
"770","Long Day's Journey Into Night (1962)",0,0
"771","Longtime Companion (1990)",1,0
"772","Look Back In Anger (1959)",0,0
"773","Looking For Mr. Goodbar (1977)",0,0
"774","Lorenzo's Oil (1992)",0,0
"775","Lost in Translation (2003)",3,1
"776","Love & Mercy (2015)",0,0
"777","Love & Other Drugs (2010)",0,0
"778","Love Actually (2003)",0,0
"779","Love Field (1992)",0,0
"780","Love Story (1970)",5,1
"781","Love at First Bite (1979)",0,0
"782","Love in the Afternoon (1957)",0,0
"783","Love in the Time of Cholera (2007)",0,0
"784","Love with the Proper Stranger (1963)",0,0
"785","Lover Come Back (1961)",0,0
"786","Lovers and Other Strangers (1970)",0,0
"787","Loving (2016)",0,0
"788","Lucky Lady (1975)",0,0
"789","Luna (1979)",0,0
"790","Lust For Life (1956)",1,0
"791","M*A*S*H (1970)",1,1
"792","MacArthur (1977)",0,0
"793","Machine Gun Preacher (2011)",0,0
"794","Mad Max Beyond Thunderdome (1985)",0,0
"795","Mad Max: Fury Road (2015)",0,0
"796","Madame Sousatzka (1988)",1,0
"797","Madron (1970)",0,0
"798","Magic (1978)",0,0
"799","Magnolia (1999)",1,0
"800","Making Love (1982)",0,0
"801","Malcolm X (1992)",0,0
"802","Malèna (2000)",0,0
"803","Mame (1974)",0,0
"804","Mamma Mia! (2008)",0,0
"805","Man of La Mancha (1972)",0,0
"806","Man on the Moon (1999)",1,0
"807","Manchester by the Sea (2016)",1,0
"808","Mandela: Long Walk to Freedom (2013)",1,0
"809","Manhattan (1979)",0,0
"810","Manhattan Murder Mystery (1993)",0,0
"811","Mannequin (1987)",0,0
"812","Maps To The Stars (2014)",0,0
"813","Marathon Man (1976)",1,0
"814","Marriage Italian Style (1964)",0,0
"815","Marriage Story (2019)",1,0
"816","Married to the Mob (1988)",0,0
"817","Marty (1955)",1,0
"818","Marvin's Room (1996)",0,0
"819","Mary Poppins (1964)",0,0
"820","Mary Poppins Returns (2018)",0,0
"821","Mary, Queen of Scots (1971)",0,0
"822","Mask (1985)",0,0
"823","Master and Commander: The Far Side of the World (2003)",0,0
"824","Match Point (2005)",0,0
"825","Maxie (1985)",0,0
"826","Me and the Colonel (1958)",1,0
"827","Meet The Parents (2000)",0,0
"828","Melvin and Howard (1980)",1,0
"829","Memento (2001)",0,0
"830","Memoirs of a Geisha (2005)",1,0
"831","Men in Black (1997)",0,0
"832","Meredith Willson's The Music Man (1962)",0,0
"833","Mermaids (1990)",0,0
"834","Michael Clayton (2007)",0,0
"835","Michael Collins (1996)",0,0
"836","Micki & Maude (1984)",1,0
"837","Middle of the Night (1959)",0,0
"838","Midnight Cowboy (1969)",0,0
"839","Midnight Express (1978)",4,1
"840","Midnight In Paris (2011)",1,0
"841","Midnight Lace (1960)",0,0
"842","Midnight Run (1988)",0,0
"843","Mighty Aphrodite (1995)",1,0
"844","Milk (2008)",0,0
"845","Million Dollar Baby (2004)",2,0
"846","Miracle On 34th Street (1947)",2,0
"847","Misery (1990)",1,0
"848","Miss Congeniality (2000)",0,0
"849","Miss Potter (2006)",0,0
"850","Miss Sloane (2016)",0,0
"851","Missing (1982)",0,0
"852","Mississippi Burning (1988)",0,0
"853","Mister 880 (1950)",1,0
"854","Moana (2016)",0,0
"855","Mogambo (1953)",1,0
"856","Molly and Lawless John (1972)",0,0
"857","Molly's Game (2017)",0,0
"858","Mona Lisa (1986)",1,0
"859","Mona Lisa Smile (2003)",0,0
"860","Moneyball (2011)",0,0
"861","Monster (2003)",1,0
"862","Monster's Ball (2001)",0,0
"863","Moon Over Parador (1988)",0,0
"864","Moonlight (2016)",1,1
"865","Moonrise Kingdom (2012)",0,0
"866","Moonstruck (1987)",2,0
"867","Moscow on the Hudson (1984)",0,0
"868","Mother (1996)",0,0
"869","Motherless Brooklyn (2019)",0,0
"870","Moulin Rouge! (2001)",3,1
"871","Movie Movie (1978)",0,0
"872","Mr. & Mrs. Bridge (1990)",0,0
"873","Mr. Hobbs Takes a Vacation (1962)",0,0
"874","Mr. Holland's Opus (1995)",0,0
"875","Mr. Saturday Night (1992)",0,0
"876","Mrs. Brown (1997)",1,0
"877","Mrs. Doubtfire (1993)",2,1
"878","Mrs. Henderson Presents (2005)",0,0
"879","Mrs. Parker and The Vicious Circle (1994)",0,0
"880","Mrs. Parkington (1944)",1,0
"881","Mrs. Soffel (1984)",0,0
"882","Much Ado About Nothing (1993)",0,0
"883","Mudbound (2017)",0,0
"884","Mulan (1998)",0,0
"885","Mulholland Dr. (2001)",0,0
"886","Munich (2005)",0,0
"887","Muriel's Wedding (1995)",0,0
"888","Murphy's Romance (1985)",0,0
"889","Music Box (1989)",0,0
"890","Music of the Heart (1999)",0,0
"891","Mutiny on the Bounty (1962)",0,0
"892","My Best Friend's Wedding (1997)",0,0
"893","My Big Fat Greek Wedding (2002)",0,0
"894","My Cousin Rachel (1952)",0,0
"895","My Fair Lady (1964)",3,1
"896","My Favorite Year (1982)",0,0
"897","My Left Foot (1989)",0,0
"898","My Man Godfrey (1957)",0,0
"899","My Six Convicts (1952)",1,0
"900","My Week With Marilyn (2011)",1,0
"901","Mystic River (2003)",2,0
"902","Nashville (1975)",1,0
"903","Natural Born Killers (1994)",0,0
"904","Nebraska (2013)",0,0
"905","Nell (1994)",0,0
"906","Network (1976)",4,0
"907","Never Say Never Again (1983)",0,0
"908","New York, New York (1977)",0,0
"909","Next Stop, Greenwich Village (1976)",0,0
"910","Nicholas Nickleby (2002)",0,0
"911","Nicholas and Alexandra (1971)",0,0
"912","Night Shift (1982)",0,0
"913","Nightcrawler (2014)",0,0
"914","Nine (2009)",0,0
"915","Nine to Five (1980)",0,0
"916","Nixon (1995)",0,0
"917","No Country for Old Men (2007)",2,0
"918","Noah (2014)",0,0
"919","Nobody's Fool (1994)",0,0
"920","Nocturnal Animals (2016)",1,0
"921","Nomad: The Warrior (2006)",0,0
"922","Norma Rae (1979)",1,0
"923","North Country (2005)",0,0
"924","Not With My Wife, You Don't (1966)",0,0
"925","Notes On a Scandal (2006)",0,0
"926","Notting Hill (1999)",0,0
"927","Nurse Betty (2000)",1,0
"928","Nuts (1987)",0,0
"929","O Brother, Where Art Thou? (2000)",1,0
"930","O Lucky Man! (1973)",0,0
"931","Oklahoma Crude (1973)",0,0
"932","Oliver & Company (1988)",0,0
"933","Oliver! (1968)",2,1
"934","On Golden Pond (1981)",3,1
"935","On The Beach (1959)",1,0
"936","On The Riviera (1951)",1,0
"937","On the Waterfront (1954)",3,1
"938","Once Upon a Time in America (1984)",0,0
"939","Once Upon a Time...in Hollywood (2019)",3,1
"940","One Chance (2013)",0,0
"941","One Fine Day (1996)",0,0
"942","One Flew Over The Cuckoo's Nest (1975)",5,1
"943","One Is a Lonely Number (1972)",0,0
"944","One True Thing (1998)",0,0
"945","One, Two, Three (1961)",0,0
"946","Only When I Laugh (1981)",1,0
"947","Opening Night (1977)",0,0
"948","Operation Petticoat (1959)",0,0
"949","Ordinary People (1980)",4,1
"950","Othello (1965)",0,0
"951","Out of Africa (1985)",3,1
"952","Outrageous Fortune (1987)",0,0
"953","Pain and Glory (2019)",0,0
"954","Paint Your Wagon (1969)",0,0
"955","Pal Joey (1957)",1,0
"956","Paper Moon (1973)",0,0
"957","Paper Tiger (1975)",0,0
"958","Papillon (1973)",0,0
"959","Parasite (2019)",0,0
"960","Parenthood (1989)",0,0
"961","Passion Fish (1992)",0,0
"962","Patch Adams (1998)",0,0
"963","Patton (1970)",1,0
"964","Pearl Harbor (2001)",0,0
"965","Peggy Sue Got Married (1986)",0,0
"966","Pennies from Heaven (1981)",1,0
"967","Pepe (1960)",0,0
"968","Pete 'n' Tillie (1972)",0,0
"969","Pete's Dragon (1977)",0,0
"970","Peyton Place (1957)",0,0
"971","Phaedra (1962)",0,0
"972","Phantom Thread (2017)",0,0
"973","Phantom of the Paradise (1974)",0,0
"974","Philadelphia (1993)",2,0
"975","Philomena (2013)",0,0
"976","Picnic (1955)",1,0
"977","Pieces of April (2003)",0,0
"978","Pieces of Dreams (1970)",0,0
"979","Pillow Talk (1959)",0,0
"980","Pineapple Express (2008)",0,0
"981","Pipe Dreams (1976)",0,0
"982","Pirates of the Caribbean: Dead Man's Chest (2006)",0,0
"983","Pirates of the Caribbean: The Curse of the Black Pearl (2003)",0,0
"984","Places in the Heart (1984)",1,0
"985","Platoon (1986)",3,1
"986","Play It as It Lays (1972)",0,0
"987","Play Misty for Me (1971)",0,0
"988","Plaza Suite (1971)",0,0
"989","Pocahontas (1995)",1,0
"990","Pocketful of Miracles (1961)",1,0
"991","Poetic Justice (1993)",0,0
"992","Popi (1969)",0,0
"993","Porgy and Bess (1959)",0,0
"994","Postcards From The Edge (1990)",0,0
"995","Precious: Based On The Novel Push By Sapphire (2009)",1,0
"996","Pressure Point (1962)",0,0
"997","Pretty Woman (1990)",1,0
"998","Prick Up Your Ears (1987)",0,0
"999","Pride & Prejudice (2005)",0,0
"1000","Pride (2014)",0,0
"1001","Primal Fear (1996)",1,0
"1002","Primary Colors (1998)",0,0
"1003","Prince of the City (1981)",0,0
"1004","Private Benjamin (1980)",0,0
"1005","Prizzi's Honor (1985)",4,1
"1006","Promise at Dawn (1970)",0,0
"1007","Promises In The Dark (1979)",0,0
"1008","Proof (2005)",0,0
"1009","Psycho (1960)",1,0
"1010","Pulp Fiction (1994)",1,0
"1011","Punch-Drunk Love (2002)",0,0
"1012","Puzzle of a Downfall Child (1970)",0,0
"1013","Q & A (1990)",0,0
"1014","Quartet (2012)",0,0
"1015","Quest For Camelot: The Magic Sword (1998)",1,0
"1016","Quills (2000)",0,0
"1017","Quiz Show (1994)",0,0
"1018","Quo Vadis? (1951)",1,0
"1019","Rabbit Hole (2010)",0,0
"1020","Rabbit-Proof Fence (2002)",0,0
"1021","Rachel Getting Married (2008)",0,0
"1022","Rachel, Rachel (1968)",2,0
"1023","Raggedy Man (1981)",0,0
"1024","Raging Bull (1980)",1,0
"1025","Ragtime (1981)",0,0
"1026","Raiders of the Lost Ark (1981)",0,0
"1027","Rain Man (1988)",2,1
"1028","Raintree County (1957)",0,0
"1029","Rambling Rose (1991)",0,0
"1030","Ransom (1996)",0,0
"1031","Ray (2004)",1,0
"1032","Ready to Wear (1994)",0,0
"1033","Red (2010)",0,0
"1034","Reds (1981)",1,0
"1035","Remo Williams: The Adventure Begins (1985)",0,0
"1036","Requiem For a Dream (2000)",0,0
"1037","Resurrection (1980)",0,0
"1038","Reuben, Reuben (1983)",0,0
"1039","Reversal of Fortune (1990)",1,0
"1040","Revolutionary Road (2008)",1,0
"1041","Richard III (1995)",0,0
"1042","Richard Jewell (2019)",0,0
"1043","Rio Conchos (1964)",0,0
"1044","Risky Business (1983)",0,0
"1045","Road to Perdition (2002)",0,0
"1046","Rob Roy (1995)",0,0
"1047","Robin Hood: Prince of Thieves (1991)",0,0
"1048","Rocketman (2019)",2,0
"1049","Rocky (1976)",1,1
"1050","Rocky III (1982)",0,0
"1051","Roma (2018)",1,0
"1052","Roman Holiday (1953)",1,0
"1053","Roman J. Israel, Esq. (2017)",0,0
"1054","Romancing the Stone (1984)",2,1
"1055","Romeo and Juliet (1968)",0,0
"1056","Room (2015)",1,0
"1057","Room At The Top (1959)",0,0
"1058","Rope of Sand (1949)",0,0
"1059","Roseland (1977)",0,0
"1060","Rosemary's Baby (1968)",1,0
"1061","Roxanne (1987)",0,0
"1062","Rules Don't Apply (2016)",0,0
"1063","Rumble Fish (1983)",0,0
"1064","Runaway Train (1985)",1,0
"1065","Running Scared (1986)",0,0
"1066","Running With Scissors (2006)",0,0
"1067","Running on Empty (1988)",1,0
"1068","Rush (1991)",0,0
"1069","Rush (2013)",0,0
"1070","Rushmore (1998)",0,0
"1071","Rust and Bone (2012)",0,0
"1072","Ruthless People (1986)",0,0
"1073","Ryan's Daughter (1970)",1,0
"1074","S. O. B. (1981)",0,0
"1075","Sabrina (1954)",1,0
"1076","Sabrina (1995)",0,0
"1077","Salmon Fishing in the Yemen (2012)",0,0
"1078","Same Time, Next Year (1978)",1,0
"1079","Saturday Night Fever (1977)",0,0
"1080","Save the Tiger (1973)",0,0
"1081","Saving Grace (2000)",0,0
"1082","Saving Mr. Banks (2013)",0,0
"1083","Saving Private Ryan (1998)",2,1
"1084","Sayonara (1957)",1,0
"1085","Scandal (1989)",0,0
"1086","Scarface (1983)",0,0
"1087","Scenes From a Marriage (1974)",0,0
"1088","Scent of a Woman (1992)",3,1
"1089","Schindler's List (1993)",3,1
"1090","Scrooge (1970)",1,0
"1091","Sea of Love (1989)",0,0
"1092","Seabiscuit (2003)",0,0
"1093","Secretary (2002)",0,0
"1094","Secrets & Lies (1996)",1,0
"1095","Selena (1997)",0,0
"1096","Selma (2014)",1,0
"1097","Sense and Sensibility (1995)",2,1
"1098","Separate Tables (1958)",1,0
"1099","September Affair (1951)",1,0
"1100","Serpico (1973)",1,0
"1101","Seven Days In May (1963)",1,0
"1102","Seven Days In May (1964)",0,0
"1103","Seven Years in Tibet (1997)",0,0
"1104","Sexy Beast (2001)",0,0
"1105","Shadow of the Vampire (2000)",0,0
"1106","Shaft (1971)",1,0
"1107","Shakespeare in Love (1998)",3,1
"1108","Shame (2011)",0,0
"1109","Shampoo (1975)",0,0
"1110","Shattered Glass (2003)",0,0
"1111","She-Devil (1989)",0,0
"1112","Sherlock Holmes (2009)",1,0
"1113","Sherrybaby (2006)",0,0
"1114","Shine (1996)",1,0
"1115","Ship of Fools (1965)",0,0
"1116","Shirley Valentine (1989)",0,0
"1117","Shoot The Moon (1982)",0,0
"1118","Short Cuts (1993)",0,0
"1119","Shrek (2001)",0,0
"1120","Shrek 2 (2004)",0,0
"1121","Sideways (2004)",2,1
"1122","Silent Movie (1976)",0,0
"1123","Silk Stockings (1957)",0,0
"1124","Silkwood (1983)",1,0
"1125","Silver Linings Playbook (2012)",1,0
"1126","Silver Streak (1976)",0,0
"1127","Sing (2016)",0,0
"1128","Sing Street (2016)",0,0
"1129","Singin' in the Rain (1952)",1,0
"1130","Sister Act (1992)",0,0
"1131","Six Degrees of Separation (1993)",0,0
"1132","Six Weeks (1982)",0,0
"1133","Ski Fever (1967)",0,0
"1134","Skyfall (2012)",1,0
"1135","Sleepless in Seattle (1993)",0,0
"1136","Sleuth (1972)",0,0
"1137","Slumdog Millionaire (2008)",4,1
"1138","Small Time Crooks (2000)",0,0
"1139","Smokey and The Bandit (1977)",0,0
"1140","Soapdish (1991)",0,0
"1141","Some Came Running (1958)",0,0
"1142","Some Like It Hot (1959)",1,0
"1143","Something To Talk About (1995)",0,0
"1144","Something Wild (1986)",0,0
"1145","Something's Gotta Give (2003)",1,0
"1146","Somewhere in Time (1980)",0,0
"1147","Song Without End (1960)",0,0
"1148","Songwriter (1984)",0,0
"1149","Sons and Lovers (1960)",1,0
"1150","Sophie's Choice (1982)",1,0
"1151","Sounder (1972)",0,0
"1152","Spanglish (2004)",0,0
"1153","Spartacus (1960)",1,1
"1154","Spectre (2015)",1,0
"1155","Speechless (1994)",0,0
"1156","Spirit: Stallion of the Cimarron (2002)",0,0
"1157","Splash (1984)",0,0
"1158","Splendor in the Grass (1961)",0,0
"1159","Spotlight (2015)",0,0
"1160","Spy (2015)",0,0
"1161","Square Dance (1987)",0,0
"1162","St. Vincent (2014)",0,0
"1163","Stan & Ollie (2018)",0,0
"1164","Stand By Me (1986)",0,0
"1165","Stand Up Guys (2012)",0,0
"1166","Stand and Deliver (1988)",0,0
"1167","Star 80 (1983)",0,0
"1168","Star Trek: The Motion Picture (1979)",0,0
"1169","Star Wars (1977)",1,0
"1170","Star Wars: Episode V - The Empire Strikes Back (1980)",0,0
"1171","Star and Stripes Forever (1952)",0,0
"1172","Star! (1968)",1,0
"1173","Stars and Stripes Forever (1952)",0,0
"1174","Starting Over (1979)",0,0
"1175","Staying Alive (1983)",0,0
"1176","Steel Magnolias (1989)",1,0
"1177","Stepmom (1998)",0,0
"1178","Steve Jobs (2015)",2,0
"1179","Stevie (1978)",0,0
"1180","Still Alice (2014)",1,0
"1181","Still Crazy (1998)",0,0
"1182","Stranger Than Fiction (2006)",0,0
"1183","Street Smart (1987)",0,0
"1184","Strictly Ballroom (1993)",0,0
"1185","Such Good Friends (1971)",0,0
"1186","Sudden Fear (1952)",0,0
"1187","Suddenly, Last Summer (1959)",1,0
"1188","Summer Wishes, Winter Dreams (1973)",0,0
"1189","Summer and Smoke (1961)",1,0
"1190","Summer of '42 (1971)",0,0
"1191","Sunday Bloody Sunday (1971)",0,0
"1192","Sunday In New York (1964)",0,0
"1193","Sunrise at Campobello (1960)",1,0
"1194","Sunset Boulevard (1950)",4,1
"1195","Sunshine (2000)",0,0
"1196","Superman (1978)",0,0
"1197","Sweeney Todd: The Demon Barber of Fleet Street (2007)",2,1
"1198","Sweet Bird of Youth (1962)",1,0
"1199","Sweet and Lowdown (1999)",0,0
"1200","Swing Shift (1984)",0,0
"1201","Switch (1991)",0,0
"1202","Syriana (2005)",1,0
"1203","Take a Giant Step (1959)",0,0
"1204","Tangled (2010)",0,0
"1205","Taps (1981)",0,0
"1206","Taras Bulba (1962)",0,0
"1207","Tarzan (1999)",1,0
"1208","Taxi Driver (1976)",0,0
"1209","Teacher's Pet (1958)",0,0
"1210","Tempest (1982)",0,0
"1211","Tender Mercies (1983)",1,0
"1212","Terms of Endearment (1983)",4,1
"1213","Tess (1980)",0,0
"1214","Testament (1983)",0,0
"1215","Tex (1982)",0,0
"1216","Thank God It's Friday (1978)",1,0
"1217","Thank You For Smoking (2006)",0,0
"1218","That Funny Feeling (1965)",0,0
"1219","That Thing You Do! (1996)",0,0
"1220","That Touch of Mink (1962)",0,0
"1221","That's Life! (1986)",0,0
"1222","The  Remains of the Day (1993)",0,0
"1223","The Absent-Minded Professor (1961)",0,0
"1224","The Accidental Tourist (1988)",0,0
"1225","The Accused (1988)",1,0
"1226","The Actress (1953)",1,0
"1227","The Addams Family (1991)",0,0
"1228","The Adventures of Priscilla, Queen of the Desert (1994)",0,0
"1229","The African Elephant (1971)",0,0
"1230","The Age of Innocence (1993)",1,0
"1231","The Agony and The Ecstasy (1965)",0,0
"1232","The Alamo (1960)",1,0
