"","title","wins","gg_bpw"
"1233","The American President (1995)",0,0
"1234","The Amityville Horror (1979)",0,0
"1235","The Andromeda Strain (1971)",0,0
"1236","The Apartment (1960)",1,0
"1237","The Appaloosa (1966)",0,0
"1238","The Artist (2011)",3,1
"1239","The Asphalt Jungle (1950)",0,0
"1240","The Assassination of Jesse James by the Coward Robert Ford (2007)",0,0
"1241","The Aviator (2004)",3,1
"1242","The Bad Seed (1956)",1,0
"1243","The Bad and The Beautiful (1952)",0,0
"1244","The Banger Sisters (2002)",0,0
"1245","The Barefoot Contessa (1954)",1,0
"1246","The Best Exotic Marigold Hotel (2012)",0,0
"1247","The Best Little Whorehouse In Texas (1982)",0,0
"1248","The Best Man (1964)",0,0
"1249","The Best Of Enemies (1962)",0,0
"1250","The Best Years Of Our Lives (1946)",1,1
"1251","The Bible: In The Beginning (1966)",0,0
"1252","The Big Chill (1983)",0,0
"1253","The Big Country (1958)",1,0
"1254","The Big Short (2015)",0,0
"1255","The Birdcage (1996)",0,0
"1256","The Black Stallion (1979)",0,0
"1257","The Blind Side (2009)",1,0
"1258","The Blue Veil (1951)",1,0
"1259","The Book Thief (2013)",0,0
"1260","The Boston Strangler (1968)",0,0
"1261","The Bostonians (1984)",0,0
"1262","The Boxer (1997)",0,0
"1263","The Boy Friend (1971)",0,0
"1264","The Boys From Brazil (1978)",0,0
"1265","The Brave One (2007)",0,0
"1266","The Bridge on the River Kwai (1957)",3,1
"1267","The Bridges of Madison County (1995)",0,0
"1268","The Buddy Holly Story (1978)",0,0
"1269","The Cardinal (1963)",2,1
"1270","The Caretakers (1963)",0,0
"1271","The Carpetbaggers (1964)",0,0
"1272","The Chalk Garden (1964)",0,0
"1273","The Champ (1979)",0,0
"1274","The Chapman Report (1962)",0,0
"1275","The Children of Sanchez (1978)",0,0
"1276","The Children's Hour (1961)",0,0
"1277","The China Syndrome (1979)",0,0
"1278","The Chronicles of Narnia: The Voyage of The Dawn Treader (2010)",0,0
"1279","The Cider House Rules (1999)",0,0
"1280","The Cincinnati Kid (1965)",0,0
"1281","The Climax (1967)",0,0
"1282","The Collector (1965)",1,0
"1283","The Color Purple (1985)",1,0
"1284","The Color of Money (1986)",0,0
"1285","The Comedians (1967)",0,0
"1286","The Commitments (1991)",0,0
"1287","The Competition (1980)",0,0
"1288","The Conjugal Bed (1963)",0,0
"1289","The Constant Gardener (2005)",1,0
"1290","The Contender (2000)",0,0
"1291","The Conversation (1974)",0,0
"1292","The Cooler (2003)",0,0
"1293","The Cotton Club (1984)",0,0
"1294","The Country Girl (1954)",1,0
"1295","The Court Jester (1956)",0,0
"1296","The Crossing Guard (1995)",0,0
"1297","The Crucible (1996)",0,0
"1298","The Crying Game (1992)",0,0
"1299","The Curious Case of Benjamin Button (2008)",0,0
"1300","The Da Vinci Code (2006)",0,0
"1301","The Danish Girl (2015)",0,0
"1302","The Dark Knight (2008)",1,0
"1303","The Dark at the Top of the Stairs (1960)",0,0
"1304","The Day The Earth Stood Still (1951)",0,0
"1305","The Day of the Dolphin (1973)",0,0
"1306","The Day of the Jackal (1973)",0,0
"1307","The Day of the Locust (1975)",0,0
"1308","The Deep (1977)",0,0
"1309","The Deep Blue Sea (2012)",0,0
"1310","The Deep End (2001)",0,0
"1311","The Deer Hunter (1978)",1,0
"1312","The Defiant Ones (1958)",1,1
"1313","The Departed (2006)",1,0
"1314","The Descendants (2011)",2,1
"1315","The Devil Wears Prada (2006)",1,0
"1316","The Diary of Anne Frank (1959)",0,0
"1317","The Dirty Dozen (1967)",0,0
"1318","The Disaster Artist (2017)",1,0
"1319","The Diving Bell and the Butterfly (2007)",1,0
"1320","The Dove (1974)",0,0
"1321","The Dresser (1983)",1,0
"1322","The Duchess (2008)",0,0
"1323","The Duchess and The Dirtwater Fox (1976)",0,0
"1324","The Edge of Seventeen (2016)",0,0
"1325","The Effect of Gamma Rays on Man-In-The-Moon Marigolds (1972)",0,0
"1326","The Elephant Man (1980)",0,0
"1327","The Emigrants (1972)",1,0
"1328","The Emperor's New Groove (2000)",0,0
"1329","The End of the Affair (1999)",0,0
"1330","The English Patient (1996)",2,1
"1331","The Evening Star (1996)",0,0
"1332","The Exorcist (1973)",4,1
"1333","The Fabulous Baker Boys (1989)",1,0
"1334","The Facts of Life (1960)",0,0
"1335","The Fall Of The Roman Empire (1964)",1,0
"1336","The Family Stone (2005)",0,0
"1337","The Farewell (2019)",1,0
"1338","The Favourite (2018)",1,0
"1339","The Field (1990)",0,0
"1340","The Fighter (2010)",2,0
"1341","The Fisher King (1991)",2,0
"1342","The Fixer (1968)",0,0
"1343","The Flamingo Kid (1984)",0,0
"1344","The Flight of the Phoenix (1965)",0,0
"1345","The Florida Project (2017)",0,0
"1346","The Fortune Cookie (1966)",0,0
"1347","The Fountain (2006)",0,0
"1348","The Four Seasons (1981)",0,0
"1349","The Fox (1967)",0,0
"1350","The French Connection (1971)",3,1
"1351","The French Lieutenant's Woman (1981)",1,0
"1352","The Front Page (1974)",0,0
"1353","The Fugitive (1993)",1,0
"1354","The Full Monty (1997)",0,0
"1355","The Gambler (1974)",0,0
"1356","The Getaway (1972)",0,0
"1357","The Girl With The Dragon Tattoo (2011)",0,0
"1358","The Glass Menagerie (1987)",0,0
"1359","The Godfather (1972)",5,1
"1360","The Godfather Part II (1974)",0,0
"1361","The Godfather Part III (1990)",0,0
"1362","The Goodbye Girl (1977)",4,1
"1363","The Graduate (1967)",2,1
"1364","The Grand Budapest Hotel (2014)",1,1
"1365","The Grass is Greener (1960)",0,0
"1366","The Great Debaters (2007)",0,0
"1367","The Great Escape (1963)",0,0
"1368","The Great Gatsby (1974)",1,0
"1369","The Great Man (1957)",0,0
"1370","The Great Race (1965)",0,0
"1371","The Great White Hope (1970)",0,0
"1372","The Greatest Show On Earth (1952)",2,1
"1373","The Greatest Showman (2017)",1,0
"1374","The Green Mile (1999)",0,0
"1375","The Grey Fox (1983)",0,0
"1376","The Grifters (1990)",0,0
"1377","The Guard (2011)",0,0
"1378","The Guns Of Navarone (1961)",2,1
"1379","The Hangover (2009)",1,1
"1380","The Happy Ending (1969)",0,0
"1381","The Happy Time (1952)",0,0
"1382","The Hateful Eight (2015)",1,0
"1383","The Haunting (1963)",0,0
"1384","The Hawaiians (1970)",0,0
"1385","The Heart Is a Lonely Hunter (1968)",0,0
"1386","The Heartbreak Kid (1972)",0,0
"1387","The Heiress (1949)",0,0
"1388","The Help (2011)",1,0
"1389","The High and The Mighty (1954)",1,0
"1390","The Horse Whisperer (1998)",0,0
"1391","The Hospital (1971)",1,0
"1392","The Hours (2002)",2,1
"1393","The Hunchback of Notre Dame (1996)",0,0
"1394","The Hundred-Foot Journey (2014)",0,0
"1395","The Hunger Games (2012)",0,0
"1396","The Hunger Games: Catching Fire (2013)",0,0
"1397","The Hunger Games: Mockingjay - Part 1 (2014)",0,0
"1398","The Hurricane (1999)",1,0
"1399","The Hurt Locker (2009)",0,0
"1400","The Hustler (1961)",0,0
"1401","The Ice Storm (1997)",0,0
"1402","The Ides of March (2011)",0,0
"1403","The Idolmaker (1980)",1,0
"1404","The Imitation Game (2014)",0,0
"1405","The Impossible (2012)",0,0
"1406","The Incredible Sarah (1976)",0,0
"1407","The Incredibles (2004)",0,0
"1408","The Informant! (2009)",0,0
"1409","The Inn of the Sixth Happiness (1958)",0,0
"1410","The Insider (1999)",0,0
"1411","The Inspector General (1949)",1,0
"1412","The Interns (1962)",0,0
"1413","The Irishman (2019)",0,0
"1414","The Iron Lady (2011)",1,0
"1415","The Jazz Singer (1980)",0,0
"1416","The Judge (2014)",0,0
"1417","The Karate Kid (1984)",0,0
"1418","The Karate Kid Part II (1986)",0,0
"1419","The Kids Are All Right (2010)",2,1
"1420","The Killing Fields (1984)",1,0
"1421","The Killing of Sister George (1968)",0,0
"1422","The King and I (1956)",1,1
"1423","The King's Speech (2010)",1,0
"1424","The Kite Runner (2007)",0,0
"1425","The L-Shaped Room (1963)",1,0
"1426","The Lady in the Van (2015)",0,0
"1427","The Landlord (1970)",0,0
"1428","The Last Detail (1973)",0,0
"1429","The Last Emperor (1987)",4,1
"1430","The Last King of Scotland (2006)",1,0
"1431","The Last Of The Mohicans (1992)",0,0
"1432","The Last Picture Show (1971)",1,0
"1433","The Last Samurai (2003)",0,0
"1434","The Last Station (2009)",0,0
"1435","The Last Temptation of Christ (1988)",0,0
"1436","The Late Show (1977)",0,0
"1437","The Legend of 1900 (1999)",1,0
"1438","The Leisure Seeker (2017)",0,0
"1439","The Life and Times of Judge Roy Bean (1972)",0,0
"1440","The Lion King (1994)",3,1
"1441","The Lion King (2019)",0,0
"1442","The Lion in Winter (1968)",2,1
"1443","The Little Mermaid (1989)",2,0
"1444","The Little Prince (1974)",1,0
"1445","The Lobster (2016)",0,0
"1446","The Longest Day (1962)",0,0
"1447","The Longest Yard (1974)",1,1
"1448","The Lord of the Rings (1978)",0,0
"1449","The Lord of the Rings: The Fellowship of the Ring (2001)",0,0
"1450","The Lord of the Rings: The Return of the King (2003)",4,1
"1451","The Lord of the Rings: The Two Towers (2002)",0,0
"1452","The Lost Weekend (1945)",2,1
"1453","The Lovely Bones (2009)",0,0
"1454","The Magnificent Yankee (1950)",0,0
"1455","The Main Event (1979)",0,0
"1456","The Mambo Kings (1992)",0,0
"1457","The Man Who Wasn't There (2001)",0,0
"1458","The Man Who Would Be King (1975)",0,0
"1459","The Man in the Glass Booth (1975)",0,0
"1460","The Manchurian Candidate (1962)",1,0
"1461","The Manchurian Candidate (2004)",0,0
"1462","The Martian (2015)",2,1
"1463","The Mask (1994)",0,0
"1464","The Mask of Zorro (1998)",0,0
"1465","The Master (2012)",0,0
"1466","The Matador (2005)",0,0
"1467","The Mating Season (1951)",0,0
"1468","The Messenger (2009)",0,0
"1469","The Mighty (1998)",0,0
"1470","The Milagro Beanfield War (1988)",0,0
"1471","The Miracle Worker (1962)",0,0
"1472","The Mirror Has Two Faces (1996)",1,0
"1473","The Mission (1986)",2,0
"1474","The Moon Is Blue (1953)",1,0
"1475","The Mosquito Coast (1986)",0,0
"1476","The Mouse on the Moon (1963)",0,0
"1477","The Muppet Movie (1979)",0,0
"1478","The Muse (1999)",0,0
"1479","The Natural (1984)",0,0
"1480","The Night of the Iguana (1964)",0,0
"1481","The Nightmare Before Christmas (1993)",0,0
"1482","The Ninth Configuration (1980)",1,0
"1483","The Nun's Story (1959)",0,0
"1484","The Nutty Professor (1996)",0,0
"1485","The Odd Couple (1968)",0,0
"1486","The Old Man & the Gun (2018)",0,0
"1487","The Old Man and the Sea (1958)",0,0
"1488","The Onion Field (1979)",0,0
"1489","The Opposite Sex (1956)",0,0
"1490","The Opposite of Sex (1998)",0,0
"1491","The Other Side of the Mountain (1975)",0,0
"1492","The Others (2001)",0,0
"1493","The Out-of-Towners (1970)",0,0
"1494","The Painted Veil (2006)",1,0
"1495","The Paper Chase (1973)",1,0
"1496","The Paper Man (1963)",0,0
"1497","The Paperboy (2012)",0,0
"1498","The Pawnbroker (1965)",0,0
"1499","The People vs. Larry Flynt (1996)",2,0
"1500","The Phantom of the Opera (2004)",0,0
"1501","The Pianist (2002)",0,0
"1502","The Piano (1993)",1,0
"1503","The Picture of Dorian Gray (1945)",1,0
"1504","The Pigeon That Took Rome (1962)",0,0
"1505","The Pink Panther (1964)",0,0
"1506","The Pink Panther Strikes Again (1976)",0,0
"1507","The Pirates of Penzance (1983)",0,0
"1508","The Player (1992)",2,1
"1509","The Pleasure of His Company (1961)",0,0
"1510","The Plunderers (1960)",0,0
"1511","The Polar Express (2004)",0,0
"1512","The Portrait of a Lady (1996)",0,0
"1513","The Poseidon Adventure (1972)",1,0
"1514","The Post (2017)",0,0
"1515","The Prime of Miss Jean Brodie (1969)",1,0
"1516","The Prince of Egypt (1998)",0,0
"1517","The Prince of Tides (1991)",1,0
"1518","The Prize (1963)",0,0
"1519","The Producers (1967) (1968)",0,0
"1520","The Producers (2005)",0,0
"1521","The Professionals (1966)",0,0
"1522","The Proposal (2009)",0,0
"1523","The Proud Rebel (1958)",0,0
"1524","The Pumpkin Eater (1964)",1,0
"1525","The Purple Rose of Cairo (1985)",1,0
"1526","The Pursuit of Happyness (2006)",0,0
"1527","The Queen (2006)",2,0
"1528","The Quiet American (2002)",0,0
"1529","The Quiet Man (1952)",0,0
"1530","The Rainmaker (1956)",1,0
"1531","The Razor's Edge (1946)",2,0
"1532","The Reader (2008)",1,0
"1533","The Red Shoes (1948)",1,0
"1534","The Reivers (1969)",0,0
"1535","The Report (2019)",0,0
"1536","The Return of the Pink Panther (1975)",0,0
"1537","The Revenant (2015)",3,1
"1538","The Right Stuff (1983)",0,0
"1539","The Ritz (1976)",0,0
"1540","The River (1984)",0,0
"1541","The River Wild (1994)",0,0
"1542","The Robe (1953)",1,1
"1543","The Roman Spring of Mrs. Stone (1961)",0,0
"1544","The Rose (1979)",2,0
"1545","The Rose Garden (1989)",0,0
"1546","The Rose Tattoo (1955)",2,0
"1547","The Royal Tenenbaums (2001)",1,0
"1548","The Russia House (1990)",0,0
"1549","The Russians Are Coming Russians Are Coming (1966)",2,1
"1550","The Sailor Who Fell From Grace With The Sea (1976)",0,0
"1551","The Sand Pebbles (1966)",1,0
"1552","The Sandpiper (1965)",0,0
"1553","The Savages (2007)",0,0
"1554","The Scalphunters (1968)",0,0
"1555","The School of Rock (2003)",0,0
"1556","The Sea Inside (2004)",0,0
"1557","The Search (1948)",1,0
"1558","The Secret of My Success (1987)",0,0
"1559","The Secret of Santa Vittoria (1969)",1,1
"1560","The Sessions (2012)",0,0
"1561","The Seven Year Itch (1955)",1,0
"1562","The Shape of Water (2017)",2,0
"1563","The Shawshank Redemption (1994)",0,0
"1564","The Sheltering Sky (1990)",1,0
"1565","The Shipping News (2001)",0,0
"1566","The Shoes of the Fisherman (1968)",1,0
"1567","The Shootist (1976)",0,0
"1568","The Shop on Main Street (1966)",0,0
"1569","The Silence of the Lambs (1991)",1,0
"1570","The Sin Of Harold Diddlebock (1950)",0,0
"1571","The Sixth Sense (1999)",0,0
"1572","The Slender Thread (1965)",0,0
"1573","The Slipper and the Rose - The Story of Cinderella (1976)",0,0
"1574","The Snapper (1993)",0,0
"1575","The Social Network (2010)",4,1
"1576","The Solid Gold Cadillac (1956)",0,0
"1577","The Song Of Bernadette (1943)",2,1
"1578","The Sound of Music (1965)",1,1
"1579","The Spy Who Came in from the Cold (1965)",1,0
"1580","The Spy Who Loved Me (1977)",0,0
"1581","The Spy With A Cold Nose (1966)",0,0
"1582","The Squid and the Whale (2005)",0,0
"1583","The Star (2017)",0,0
"1584","The Sterile Cuckoo (1969)",0,0
"1585","The Sting (1973)",0,0
"1586","The Story of Esther Costello (1957)",0,0
"1587","The Straight Story (1999)",0,0
"1588","The Stunt Man (1980)",1,0
"1589","The Subject Was Roses (1968)",0,0
"1590","The Sundowners (1960)",0,0
"1591","The Sunshine Boys (1975)",3,1
"1592","The Swan Princess (1994)",0,0
"1593","The Talented Mr. Ripley (1999)",0,0
"1594","The Taming of the Shrew (1967)",0,0
"1595","The Teahouse of the August Moon (1956)",0,0
"1596","The Ten Commandments (1956)",0,0
"1597","The The Chronicles Of Narnia: The Lion Witch And The Wardrobe (2005)",0,0
"1598","The Theory of Everything (2014)",2,0
"1599","The Thief (1952)",0,0
"1600","The Thomas Crown Affair (1968)",1,0
"1601","The Three Faces of Eve (1957)",1,0
"1602","The Three Musketeers (1974)",1,0
"1603","The Tourist (2010)",0,0
"1604","The Towering Inferno (1974)",1,0
"1605","The Town (2010)",0,0
"1606","The Treasure of the Sierra Madre (1948)",3,1
"1607","The Trip To Bountiful (1985)",0,0
"1608","The Truman Show (1998)",3,0
"1609","The Turning Point (1977)",2,1
"1610","The Two Popes (2019)",0,0
"1611","The Ugly American (1963)",0,0
"1612","The Unbearable Lightness of Being (1988)",0,0
"1613","The Unsinkable Molly Brown (1964)",0,0
"1614","The Untouchables (1987)",1,0
"1615","The Usual Suspects (1995)",0,0
"1616","The V. I. P.'s (1963)",1,0
"1617","The Verdict (1982)",0,0
"1618","The War of The Roses (1989)",0,0
"1619","The Way We Were (1973)",1,0
"1620","The Well (1951)",0,0
"1621","The Wheeler Dealers (1963)",0,0
"1622","The Whisperers (1967)",1,0
"1623","The Wife (2018)",1,0
"1624","The Wild Thornberrys Movie (2002)",0,0
"1625","The Wings of the Dove (1997)",0,0
"1626","The Wolf of Wall Street (2013)",1,0
"1627","The Woman in Red (1984)",1,0
"1628","The Wonderful World Of The Brothers Grimm (1962)",0,0
"1629","The World Of Suzie Wong (1960)",0,0
"1630","The World of Henry Orient (1964)",0,0
"1631","The Wrestler (2008)",2,0
"1632","The Year of Living Dangerously (1983)",0,0
"1633","The Yellow Rolls-Royce (1965)",1,0
"1634","The Young Philadelphians (1959)",0,0
"1635","The Young Victoria (2009)",0,0
"1636","The Zorro Gay Blade (1981)",0,0
"1637","Thelma & Louise (1991)",1,0
"1638","There Will Be Blood (2007)",1,0
"1639","There's Something About Mary (1998)",0,0
"1640","They Shoot Horses, Don't They? (1969)",1,0
"1641","Thirteen (2003)",0,0
"1642","This Property Is Condemned (1966)",0,0
"1643","This Sporting Life (1963)",0,0
"1644","Thoroughly Modern Millie (1967)",1,0
"1645","Those Magnificent Men in Their Flying Machines (1965)",0,0
"1646","Three Billboards Outside Ebbing, Missouri (2017)",4,1
"1647","Three Colours: Blue (Trois couleurs: Bleu) (1993)",0,0
"1648","Three Days of the Condor (1975)",0,0
"1649","Three Little Words (1950)",1,0
"1650","Throw Momma From The Train (1987)",0,0
"1651","Tin Cup (1996)",0,0
"1652","Titanic (1997)",4,1
"1653","To Be or Not to Be (1983)",0,0
"1654","To Bed Or Not To Bed (1963)",1,0
"1655","To Die For (1995)",1,0
"1656","To Kill A Mockingbird (1962)",2,0
"1657","To Wong Foo, Thanks For Everything! Julie Newmar (1995)",0,0
"1658","Tom & Viv (1994)",0,0
"1659","Tom Jones (1963)",1,1
"1660","Tom Sawyer (1973)",0,0
"1661","Tommy (1975)",1,0
"1662","Tomorrow Never Dies (1997)",0,0
"1663","Tootsie (1982)",3,1
"1664","Top Gun (1986)",1,0
"1665","Topkapi (1964)",0,0
"1666","Touched by Love (1980)",0,0
"1667","Tough Guys (1986)",0,0
"1668","Town Without Pity (1961)",1,0
"1669","Toy Story (1995)",0,0
"1670","Toy Story 2 (1999)",1,1
"1671","Toys in the Attic (1963)",0,0
"1672","Trading Places (1983)",0,0
"1673","Traffic (2000)",2,0
"1674","Training Day (2001)",0,0
"1675","Trainwreck (2015)",0,0
"1676","Transamerica (2005)",1,0
"1677","Travels with My Aunt (1972)",0,0
"1678","Trial (1955)",1,0
"1679","Tribute (1980)",0,0
"1680","Trolls (2016)",0,0
"1681","Tropic Thunder (2008)",0,0
"1682","True Grit (1969)",1,0
"1683","True Lies (1994)",1,0
"1684","Trumbo (2015)",0,0
"1685","Tucker: The Man and His Dream (1988)",1,0
"1686","Tully (2018)",0,0
"1687","Tumbleweeds (1999)",1,0
"1688","Twelve Monkeys (1995)",1,0
"1689","Twice in a Lifetime (1985)",0,0
"1690","Twins (1988)",0,0
"1691","Two for the Road (1967)",0,0
"1692","Ulee's Gold (1997)",1,0
"1693","Under Fire (1983)",0,0
"1694","Under The Tuscan Sun (2003)",0,0
"1695","Under The Volcano (1984)",0,0
"1696","Under The Yum Yum Tree (1963)",0,0
"1697","Unfaithful (2002)",0,0
"1698","Unforgiven (1992)",2,0
"1699","Up (2009)",1,0
"1700","Up Close & Personal (1996)",0,0
"1701","Up In The Air (2009)",1,0
"1702","Urban Cowboy (1980)",0,0
"1703","Used People (1992)",0,0
"1704","Vanilla Sky (2001)",0,0
"1705","Venus (2006)",0,0
"1706","Vera Drake (2004)",0,0
"1707","Veronica Guerin (2003)",0,0
"1708","Vice (2018)",1,0
"1709","Vicky Cristina Barcelona (2008)",1,1
"1710","Victor Victoria (1982)",1,0
"1711","Victoria & Abdul (2017)",0,0
"1712","Viva Zapata! (1952)",0,0
"1713","Volver (2006)",0,0
"1714","Voyage of the Damned (1976)",1,0
"1715","W.E. (2011)",1,0
"1716","Wag the Dog (1997)",0,0
"1717","Wait Until Dark (1967)",0,0
"1718","Walk Hard: The Dewey Cox Story (2007)",0,0
"1719","Walk The Line (2005)",3,1
"1720","Wall Street (1987)",1,0
"1721","Wall Street: Money Never Sleeps (2010)",0,0
"1722","Wall-E (2008)",0,0
"1723","War Dogs (2016)",0,0
"1724","War Horse (2011)",0,0
"1725","War and Peace (1956)",0,0
"1726","We Need To Talk About Kevin (2011)",0,0
"1727","Weeds (1987)",0,0
"1728","West Side Story (1961)",2,0
"1729","What Ever Happened To Baby Jane? (1962)",0,0
"1730","What Women Want (2000)",0,0
"1731","What's Eating Gilbert Grape (1993)",0,0
"1732","What's Love Got To Do With It (1993)",1,0
"1733","When Harry Met Sally (1989)",0,0
"1734","When Willie Comes Marching Home (1950)",0,0
"1735","Where Love Has Gone (1964)",0,0
"1736","Where The Wild Things Are (2009)",0,0
"1737","Where'd You Go, Bernadette (2019)",0,0
"1738","Whiffs (1975)",0,0
"1739","While You Were Sleeping (1995)",0,0
"1740","Whiplash (2014)",1,0
"1741","White Nights (1985)",1,0
"1742","White Palace (1990)",0,0
"1743","Who Framed Roger Rabbit (1988)",0,0
"1744","Who Is Killing The Great Chefs of Europe? (1978)",0,0
"1745","Who Was That Lady? (1959)",0,0
"1746","Who's Afraid of Virginia Woolf? (1966)",0,0
"1747","Who's That Girl (1987)",0,0
"1748","Wild (2014)",0,0
"1749","Wild at Heart (1990)",0,0
"1750","Wild is the Wind (1957)",0,0
"1751","Wilde (1998)",0,0
"1752","Will Success Spoil Rock Hunter? (1957)",0,0
"1753","Willy Wonka & The Chocolate Factory (1971)",0,0
"1754","Winter's Bone (2010)",0,0
"1755","With Honors (1994)",0,0
"1756","With a Song in My Heart (1952)",1,1
"1757","Without Limits (1998)",0,0
"1758","Witness (1985)",0,0
"1759","Witness for the Prosecution (1957)",1,0
"1760","Women In Love (1970)",0,0
"1761","Wonder Boys (2000)",1,0
"1762","Working Girl (1988)",4,1
"1763","Written on the Wind (1956)",0,0
"1764","Wuthering Heights (1970)",0,0
"1765","Yanks (1979)",0,0
"1766","Year of the Dragon (1985)",0,0
"1767","Yentl (1983)",2,1
"1768","Yes, Giorgio (1982)",0,0
"1769","You Can Count On Me (2000)",0,0
"1770","You Light Up My Life (1977)",1,0
"1771","You're a Big Boy Now (1966)",0,0
"1772","You've Got Mail (1998)",0,0
"1773","Young Adult (2011)",0,0
"1774","Young Frankenstein (1974)",0,0
"1775","Young Guns II (1990)",1,0
"1776","Yours, Mine and Ours (1968)",0,0
"1777","Youth (2015)",0,0
"1778","Zelig (1983)",0,0
"1779","Zero Dark Thirty (2012)",1,0
"1780","Zoot Suit (1981)",0,0
"1781","Zorba The Greek (1964)",0,0
