"","film","year_film","nom_bp","nom_dir","nom_aml","nom_afl","nom_cin","nom_prod","nom_wa","nom_wo","nom_fm","nom_mo","nom_ms","nom_ams","nom_afs","nom_vis","nom_cos","nom_mak","nom_sm","won_bp"
"198","Hamlet (1948)",1948,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
"199","Hannah and Her Sisters (1986)",1986,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0
"200","Heaven Can Wait (1943)",1943,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"201","Heaven Can Wait (1978)",1978,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0
"202","Hell or High Water (2016)",2016,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"203","Hello, Dolly! (1969)",1969,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0
"204","Henry V (1946)",1946,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"205","Her (2013)",2013,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
"206","Here Comes Mr. Jordan (1941)",1941,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"207","Here Comes the Navy (1934)",1934,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208","Hidden Figures (2016)",2016,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"209","High Noon (1952)",1952,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"210","Hold Back the Dawn (1941)",1941,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"211","Hollywood Revue (1928)",1928,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212","Hope and Glory (1987)",1987,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"213","How Green Was My Valley (1941)",1941,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1
"214","How the West Was Won (1963)",1963,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0
"215","Howards End (1992)",1992,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0
"216","Hugo (2011)",2011,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0
"217","I Am a Fugitive from a Chain Gang (1932)",1932,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"218","Imitation of Life (1934)",1934,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"219","In Old Arizona (1928)",1928,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"220","In Old Chicago (1937)",1937,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"221","In Which We Serve (1943)",1943,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"222","In the Bedroom (2001)",2001,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"223","In the Heat of the Night (1967)",1967,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
"224","In the Name of the Father (1993)",1993,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
"225","Inception (2010)",2010,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0
"226","Inglourious Basterds (2009)",2009,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
"227","It Happened One Night (1934)",1934,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"228","It's a Wonderful Life (1946)",1946,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"229","Ivanhoe (1952)",1952,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"230","JFK (1991)",1991,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0
"231","Jaws (1975)",1975,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"232","Jerry Maguire (1996)",1996,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"233","Jezebel (1938)",1938,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"234","Johnny Belinda (1948)",1948,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0
"235","Jojo Rabbit (2019)",2019,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0
"236","Joker (2019)",2019,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0
"237","Judas and the Black Messiah (2020)",2020,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
"238","Judgment at Nuremberg (1961)",1961,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0
"239","Julia (1977)",1977,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0
"240","Julius Caesar (1953)",1953,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"241","Juno (2007)",2007,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"242","King Richard (2021)",2021,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
"243","King Solomon's Mines (1950)",1950,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"244","Kings Row (1942)",1942,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"245","Kiss of the Spider Woman (1985)",1985,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"246","Kitty Foyle (1940)",1940,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"247","Kramer vs. Kramer (1979)",1979,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
"248","L.A. Confidential (1997)",1997,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0
"249","La La Land (2016)",2016,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0
"250","Lady Bird (2017)",2017,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"251","Lady for a Day (1932)",1932,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"252","Lawrence of Arabia (1962)",1962,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1
"253","Lenny (1974)",1974,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"254","Les Miserables (1935)",1935,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"255","Les Misérables (2012)",2012,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0
"256","Letters from Iwo Jima (2006)",2006,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"257","Libeled Lady (1936)",1936,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"258","Licorice Pizza (2021)",2021,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"259","Life Is Beautiful (1998)",1998,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"260","Life of Pi (2012)",2012,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0
"261","Lilies of the Field (1963)",1963,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"262","Lincoln (2012)",2012,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0
"263","Lion (2016)",2016,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0
"264","Little Miss Sunshine (2006)",2006,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"265","Little Women (1932)",1932,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"266","Little Women (2019)",2019,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
"267","Lost Horizon (1937)",1937,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0
"268","Lost in Translation (2003)",2003,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"269","Love Affair (1939)",1939,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"270","Love Is a Many-Splendored Thing (1955)",1955,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0
"271","Love Story (1970)",1970,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"272","M*A*S*H (1970)",1970,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"273","Mad Max: Fury Road (2015)",2015,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0
"274","Madame Curie (1943)",1943,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
"275","Manchester by the Sea (2016)",2016,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"276","Mank (2020)",2020,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0
"277","Marriage Story (2019)",2019,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"278","Marty (1955)",1955,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1
"279","Mary Poppins (1964)",1964,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0
"280","Master and Commander: The Far Side of the World (2003)",2003,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0
"281","Meredith Willson's The Music Man (1962)",1962,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
"282","Michael Clayton (2007)",2007,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
"283","Midnight Cowboy (1969)",1969,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
"284","Midnight Express (1978)",1978,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
"285","Midnight in Paris (2011)",2011,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"286","Mildred Pierce (1945)",1945,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"287","Milk (2008)",2008,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0
"288","Million Dollar Baby (2004)",2004,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
"289","Minari (2020)",2020,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"290","Miracle on 34th Street (1947)",1947,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"291","Missing (1982)",1982,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"292","Mississippi Burning (1988)",1988,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"293","Mister Roberts (1955)",1955,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"294","Moneyball (2011)",2011,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
"295","Moonlight (2016)",2016,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1
"296","Moonstruck (1987)",1987,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"297","Moulin Rouge (1952)",1952,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
"298","Moulin Rouge (2001)",2001,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0
"299","Mr. Deeds Goes to Town (1936)",1936,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"300","Mr. Smith Goes to Washington (1939)",1939,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0
"301","Mrs. Miniver (1942)",1942,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1
"302","Munich (2005)",2005,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"303","Mutiny on the Bounty (1935)",1935,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
"304","Mutiny on the Bounty (1962)",1962,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0
"305","My Fair Lady (1964)",1964,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1
"306","My Left Foot (1989)",1989,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"307","Mystic River (2003)",2003,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"308","Nashville (1975)",1975,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"309","Naughty Marietta (1935)",1935,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"310","Nebraska (2013)",2013,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
"311","Network (1976)",1976,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0
"312","Nicholas and Alexandra (1971)",1971,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
"313","Nightmare Alley (2021)",2021,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"314","Ninotchka (1939)",1939,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"315","No Country for Old Men (2007)",2007,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1
"316","Nomadland (2020)",2020,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
"317","Norma Rae (1979)",1979,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"318","Of Mice and Men (1939)",1939,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"319","Oliver! (1968)",1968,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1
"320","On Golden Pond (1981)",1981,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0
"321","On the Waterfront (1954)",1954,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1
"322","Once upon a Time...in Hollywood (2019)",2019,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0
"323","One Flew over the Cuckoo's Nest (1975)",1975,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1
"324","One Foot in Heaven (1941)",1941,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"325","One Hour with You (1931)",1931,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"326","One Hundred Men and a Girl (1937)",1937,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"327","One Night of Love (1934)",1934,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"328","Ordinary People (1980)",1980,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"329","Our Town (1940)",1940,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"330","Out of Africa (1985)",1985,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1
"331","Parasite (2019)",2019,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
"332","Patton (1970)",1970,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1
"333","Peyton Place (1957)",1957,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0
"334","Phantom Thread (2017)",2017,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"335","Philomena (2013)",2013,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"336","Picnic (1955)",1955,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
"337","Places in the Heart (1984)",1984,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0
"338","Platoon (1986)",1986,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1
"339","Precious: Based on the Novel 'Push' by Sapphire (2009)",2009,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"340","Prizzi's Honor (1985)",1985,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
"341","Promising Young Woman (2020)",2020,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"342","Pulp Fiction (1994)",1994,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
"343","Pygmalion (1938)",1938,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"344","Quiz Show (1994)",1994,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"345","Quo Vadis (1951)",1951,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0
"346","Rachel, Rachel (1968)",1968,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"347","Raging Bull (1980)",1980,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0
"348","Raiders of the Lost Ark (1981)",1981,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0
"349","Rain Man (1988)",1988,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1
"350","Random Harvest (1942)",1942,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"351","Ray (2004)",2004,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"352","Rebecca (1940)",1940,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1
"353","Reds (1981)",1981,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0
"354","Rocky (1976)",1976,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1
"355","Roma (2018)",2018,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0
"356","Roman Holiday (1953)",1953,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0
"357","Romeo and Juliet (1936)",1936,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"358","Romeo and Juliet (1968)",1968,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"359","Room (2015)",2015,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"360","Room at the Top (1959)",1959,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"361","Ruggles of Red Gap (1935)",1935,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"362","San Francisco (1936)",1936,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"363","Saving Private Ryan (1998)",1998,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0
"364","Sayonara (1957)",1957,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0
"365","Scent of a Woman (1992)",1992,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"366","Schindler's List (1993)",1993,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1
"367","Seabiscuit (2003)",2003,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0
"368","Secrets & Lies (1996)",1996,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"369","Selma (2014)",2014,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"370","Sense and Sensibility (1995)",1995,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0
"371","Separate Tables (1958)",1958,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0
"372","Sergeant York (1941)",1941,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0
"373","Seven Brides for Seven Brothers (1954)",1954,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"374","Shakespeare in Love (1998)",1998,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1
"375","Shane (1953)",1953,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"376","Shanghai Express (1931)",1931,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"377","She Done Him Wrong (1932)",1932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"378","Shine (1996)",1996,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
"379","Ship of Fools (1965)",1965,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0
"380","Sideways (2004)",2004,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"381","Silver Linings Playbook (2012)",2012,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0
"382","Since You Went Away (1944)",1944,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0
"383","Skippy (1930)",1930,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"384","Slumdog Millionaire (2008)",2008,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1
"385","Smilin' Through (1932)",1932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"386","Sons and Lovers (1960)",1960,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
"387","Sound of Metal (2020)",2020,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
"388","Sounder (1972)",1972,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"389","Spellbound (1945)",1945,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
"390","Spotlight (2015)",2015,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1
"391","Stage Door (1937)",1937,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"392","Stagecoach (1939)",1939,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0
"393","Star Wars (1977)",1977,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0
"394","State Fair (1932)",1932,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"395","Sunset Blvd. (1950)",1950,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0
"396","Suspicion (1941)",1941,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"397","Taxi Driver (1976)",1976,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
